COUNTRY;CONTINENT;AREA (SQ KM);POPULATION;(BIRTHS/1000 POPULATION);LIFE EXPECTANCY (YEARS);ADULT OBESITY (%);GDP - PER CAPITA (PPP);UNEMPLOYMENT RATE (%);ELECTRICITY CONSUMPTION (KWH);MOBILE PHONES;INTERNET USERS;RAILWAYS (KM);MILITARY EXPENDITURES (% OF GDP);POPULATION DENSITY (PERS/SQ KM);ELECTRICITY CONSUMPTION PER CAPITA;MOBILE PHONES (%);INTERNET USERS (%);RAILWAY DENSITY
AFGHANISTAN;SOUTH ASIA;652230;36643815;36,7;52,8;5,5;2000;23,9;5526000000;21239280;4717013;NA;1,2;56,18;150,8;0,58;0,13;NA
ALBANIA;EUROPE;28748;3074579;13;79;21,7;12500;5,83;5110000000;2799066;2196613;677;1,3;106,95;1662,02;0,91;0,71;0,0235
ALGERIA;AFRICA;2381740;42972878;20;77,5;27,4;15200;11,7;55960000000;46287629;24819531;3973;6;18,04;1302,22;1,08;0,58;0,0017
AMERICAN SAMOA;AUSTRALIA & OCEANIA;224;49437;17,8;74,8;NA;11200;29,8;157200000;NA;17;NA;NA;220,7;3179,8;NA;0;NA
ANDORRA;EUROPE;468;77;7;83;25,6;49900;3,7;221600000;97645;78483;NA;NA;0,16;2877922,08;1268,12;1019,26;NA
ANGOLA;AFRICA;1246700;32522339;42,7;61,3;8,2;6800;6,6;9036000000;14645106;4353033;2852;1,6;26,09;277,84;0,45;0,13;0,0023
ANGUILLA;CENTRAL AMERICA;91;1809;12,2;81,8;NA;12200;8;NA;32332;14211;NA;NA;19,88;NA;17,87;7,86;NA
ANTIGUA AND BARBUDA;CENTRAL AMERICA;442,6;98179;15,4;77,3;18,9;26400;11;307800000;187095;7287;NA;NA;221,82;3135,09;1,91;0,07;NA
ARGENTINA;SOUTH AMERICA;2780400;45479118;16;77,8;28,3;20900;9,84;1,21E+11;59008618;33203320;36917;0,7;16,36;2660,56;1,3;0,73;0,0133
ARMENIA;MIDDLE EAST;29743;3021324;11,9;75,6;20,2;9500;18,9;5291000000;3707557;1966942;780;4,9;101,58;1751,22;1,23;0,65;0,0262
ARUBA;CENTRAL AMERICA;180;119428;12,1;77,5;NA;37500;7,7;873300000;159471;113277;NA;NA;663,49;7312,36;1,34;0,95;NA
AUSTRALIA;AUSTRALIA & OCEANIA;7741220;25466459;12,4;82,7;29;50400;5,16;2,294E+11;27780491;21419302;33343;1,9;3,29;9007,93;1,09;0,84;0,0043
AUSTRIA;EUROPE;83871;8859449;9,5;81,9;20,1;50000;7,35;64600000000;10574725;7712665;58;0,7;105,63;7291,65;1,19;0,87;0,0007
AZERBAIJAN;MIDDLE EAST;86600;10205810;14,5;73,6;19,9;17500;5;20240000000;10835974;8017120;2944;4;117,85;1983,18;1,06;0,79;0,034
BAHRAIN;MIDDLE EAST;760;1505003;12,7;79,4;29,8;49000;3,6;26110000000;1706763;1423039;NA;3,7;1980,27;17348,8;1,13;0,95;NA
BANGLADESH;SOUTH ASIA;148460;162650853;18,1;74,2;3,6;4200;4,4;53650000000;163559380;23917950;246;1,3;1095,59;329,85;1,01;0,15;0,0017
BARBADOS;CENTRAL AMERICA;430;29456;11,3;76;23,1;18600;10,1;990000000;319177;239664;NA;NA;68,5;33609,45;10,84;8,14;NA
BELARUS;EUROPE;207600;9477918;9,5;73,8;24,5;18900;0,8;31720000000;11682764;7539145;5528;1,2;45,65;3346,73;1,23;0,8;0,0266
BELGIUM;EUROPE;30528;11720716;11,1;81,4;22,1;46600;5,36;82160000000;11616970;10258638;3592;0,93;383,93;7009,81;0,99;0,88;0,1177
BELIZE;CENTRAL AMERICA;22966;399598;22;75,3;24,1;8300;9;453000000;256479;18166;NA;1,2;17,4;1133,64;0,64;0,05;NA
BENIN;AFRICA;112622;12864634;42,1;61,4;9,6;2300;1;1143000000;10905559;2403596;438;0,7;114,23;88,85;0,85;0,19;0,0039
BERMUDA;NORTH AMERICA;54;7175;11,2;81,7;NA;99400;7;604500000;7368;70016;NA;NA;132,87;84250,87;1,03;9,76;NA
BHUTAN;SOUTH ASIA;38394;782318;16,3;72,1;6,4;9000;3,2;2184000000;740026;368714;NA;NA;20,38;2791,7;0,95;0,47;NA
BOLIVIA;SOUTH AMERICA;1098581;11639909;20,8;70,4;20,2;7600;4;7785000000;11567760;4955569;396;1,4;10,6;668,82;0,99;0,43;0,0004
BOSNIA AND HERZEGOVINA;EUROPE;51197;3835586;8,6;77,5;17,9;12800;33,28;11870000000;4300743;2699544;965;0,9;74,92;3094,7;1,12;0,7;0,0188
BOTSWANA;AFRICA;581730;2317233;20,9;64,8;18,9;17000;20;3636000000;3968526;1057079;888;2,8;3,98;1569,11;1,71;0,46;0,0015
BRAZIL;SOUTH AMERICA;8515770;211715973;13,6;74,7;22,1;15600;11,93;5,091E+11;207862093;140908998;2985;1,5;24,86;2404,64;0,98;0,67;0,0004
BRITISH VIRGIN ISLANDS;CENTRAL AMERICA;151;37381;11,1;79,2;NA;34200;2,9;117500000;72589;27818;NA;NA;247,56;3143,31;1,94;0,74;NA
BRUNEI;EAST ASIA;5765;464478;16,5;77,9;14,1;78900;6,9;3771000000;588616;426234;NA;3,3;80,57;8118,79;1,27;0,92;NA
BULGARIA;EUROPE;110879;6966899;8,3;75;25;21800;5,66;32340000000;8149389;4571851;5114;3,25;62,83;4641,95;1,17;0,66;0,0461
BURKINA FASO;AFRICA;274200;20835401;35,1;62,7;5,6;1900;77;1551000000;20330657;3158834;622;2,4;75,99;74,44;0,98;0,15;0,0023
BURMA;EAST ASIA;676578;56590071;17;69,3;5,8;6300;4;14930000000;63877526;17064985;5031;2,9;83,64;263,83;1,13;0,3;0,0074
BURUNDI;AFRICA;27830;11865821;36,5;66,7;5,4;700;NA;382700000;6644833;298684;NA;1,8;426,37;32,25;0,56;0,03;NA
CABO VERDE;AFRICA;4033;583255;19,1;73,2;11,8;7000;9;367400000;623749;330623;NA;0,5;144,62;629,91;1,07;0,57;NA
CAMBODIA;EAST ASIA;181035;16926984;21,3;65,9;3,9;4000;0,3;5857000000;21684767;6579808;642;2,3;93,5;346,02;1,28;0,39;0,0035
CAMEROON;AFRICA;475440;27744989;36,3;62,3;11,4;3700;4,3;6411000000;22062303;6089200;987;1,1;58,36;231,07;0,8;0,22;0,0021
CANADA;NORTH AMERICA;9984670;37694085;10,2;83,4;29,4;48400;5,67;5,222E+11;34597559;33743954;77932;1,31;3,78;13853,63;0,92;0,9;0,0078
CAYMAN ISLANDS;CENTRAL AMERICA;264;61944;11,9;81,6;NA;43800;4;612000000;92691;48328;NA;NA;234,64;9879,89;1,5;0,78;NA
CENTRAL AFRICAN REPUBLIC;AFRICA;622984;5990855;33,2;54,2;7,5;700;6,9;159400000;1892114;249336;NA;1,5;9,62;26,61;0,32;0,04;NA
CHAD;AFRICA;1284000;16877357;41,7;58,3;6,1;2300;NA;208600000;7857758;1029153;NA;2,2;13,14;12,36;0,47;0,06;NA
CHILE;SOUTH AMERICA;756102;18186770;13,1;79,4;28;24600;7,22;73220000000;23870679;14757868;7282;1,8;24,05;4026;1,31;0,81;0,0096
CHINA;EAST ASIA;9596960;1394015977;11,6;76,1;6,2;18200;3,64;5,564E+12;1672545161;751886119;131;1,9;145,26;3991,35;1,2;0,54;0
COLOMBIA;SOUTH AMERICA;1138910;49084841;15,4;76,6;22,3;14400;10,5;68250000000;64033049;29990017;2141;3,2;43,1;1390,45;1,3;0,61;0,0019
COMOROS;AFRICA;2235;846281;23,6;65,7;7,8;1600;6,5;39060000;563722;69635;NA;NA;378,65;46,15;0,67;0,08;NA
COOK ISLANDS;AUSTRALIA & OCEANIA;236;8574;13,3;76,6;55,9;16700;13,1;31620000;7308;4881;NA;NA;36,33;3687,89;0,85;0,57;NA
COSTA RICA;CENTRAL AMERICA;51100;5097988;14,8;79,2;25,7;16900;8,1;9812000000;8163744;3694974;278;NA;99,76;1924,68;1,6;0,72;0,0054
COTE D'IVOIRE;AFRICA;322463;27481086;29,1;61,3;10,3;3900;9,4;6245000000;39049743;12295204;660;1,1;85,22;227,25;1,42;0,45;0,002
CROATIA;EUROPE;56594;4227746;8,7;76,7;24,4;24700;8,07;15930000000;4531122;3104212;2722;1,68;74,7;3767,97;1,07;0,73;0,0481
CUBA;CENTRAL AMERICA;110860;11059062;10,4;79,2;24,6;12300;2,6;16160000000;5911586;6353020;8367;2,9;99,76;1461,25;0,53;0,57;0,0755
CURACAO;CENTRAL AMERICA;444;151345;13,4;79;NA;15000;13;968000000;17426;102359;NA;NA;340,87;6395,98;0,12;0,68;NA
CYPRUS;EUROPE;9251;1266676;10,9;79,3;21,8;37200;7,07;4355000000;1801213;1044473;NA;1,6;136,92;3438,13;1,42;0,82;NA
CZECHIA;EUROPE;78867;10702498;8,9;79,3;26;35500;2,8;62340000000;13213279;8622750;9408;1,19;135,7;5824,81;1,23;0,81;0,1193
DENMARK;EUROPE;43094;5869410;11,1;81,2;19,7;50100;3,05;33020000000;7331110;5672398;3476;1,32;136,2;5625,78;1,25;0,97;0,0807
DJIBOUTI;AFRICA;23200;921804;22,7;64,7;13,5;3600;40;377100000;371992;492221;97;NA;39,73;409,09;0,4;0,53;0,0042
DOMINICA;CENTRAL AMERICA;751;74243;14,5;77,7;27,9;11000;23;103600000;78437;51538;NA;NA;98,86;1395,42;1,06;0,69;NA
DOMINICAN REPUBLIC;CENTRAL AMERICA;48670;10499707;18,5;72;27,6;17000;5,1;15640000000;8665302;7705529;496;0,7;215,73;1489,57;0,83;0,73;0,0102
ECUADOR;SOUTH AMERICA;283561;16904867;17;77,5;19,9;11500;5,71;22680000000;15241719;9448692;965;2,3;59,62;1341,63;0,9;0,56;0,0034
EGYPT;AFRICA;1001450;104124440;27,2;73,7;32;12700;7,86;1,597E+11;96657295;46644728;5085;1,2;103,97;1533,74;0,93;0,45;0,0051
EL SALVADOR;CENTRAL AMERICA;21041;6481102;18,6;74,8;24,6;8000;7;5928000000;9442667;2153776;13;1,2;308,02;914,66;1,46;0,33;0,0006
EQUATORIAL GUINEA;AFRICA;28051;836178;30,7;65,7;8;37400;8,6;465000000;36892;209253;NA;1,1;29,81;556,1;0,04;0,25;NA
ERITREA;AFRICA;117600;6081196;27,9;66,2;5;1600;5,8;353900000;1226660;78215;306;NA;51,71;58,2;0,2;0,01;0,0026
ESTONIA;EUROPE;45228;1228624;9,3;77,4;21,2;31700;4,94;8795000000;1820088;1111896;2146;2,14;27,17;7158,41;1,48;0,9;0,0474
ESWATINI;AFRICA;17364;1104479;24,5;58,6;16,5;10100;28;1431000000;1025061;510984;301;1,8;63,61;1295,63;0,93;0,46;0,0173
ETHIOPIA;AFRICA;1104300;108113150;31,6;67,5;4,5;2200;17,5;9062000000;38147361;19118470;659;0,7;97,9;83,82;0,35;0,18;0,0006
FALKLAND ISLANDS (ISLAS MALVINAS);SOUTH AMERICA;12173;3198;10,9;NA;NA;70800;1;17670000;4674;3;NA;NA;0,26;5525,33;1,46;0;NA
FAROE ISLANDS;EUROPE;1393;51628;14,9;80,8;NA;40000;2,2;285500000;59771;49783;NA;NA;37,06;5529,94;1,16;0,96;NA
FIJI;AUSTRALIA & OCEANIA;18274;935974;17,4;73,7;30,2;9800;4,5;850000000;1097345;46286;597;1,6;51,22;908,14;1,17;0,05;0,0327
FINLAND;EUROPE;338145;5571665;10,6;81,3;22,2;44500;6,63;82790000000;7179481;4922163;5926;1,5;16,48;14859,11;1,29;0,88;0,0175
FRANCE;EUROPE;643801;67848156;11,9;82,2;21,6;44100;8,12;4,508E+11;74791818;55265718;2964;1,84;105,39;6644,25;1,1;0,81;0,0046
FRENCH POLYNESIA;AUSTRALIA & OCEANIA;4167;295121;14;77,9;NA;17000;21,8;629900000;305233;211101;NA;NA;70,82;2134,38;1,03;0,72;NA
GABON;AFRICA;267667;2230908;26,3;69;15;18100;28;2071000000;3008814;1313802;649;1,6;8,33;928,32;1,35;0,59;0,0024
GAZA STRIP;MIDDLE EAST;360;1918221;28,6;74,9;NA;NA;27,9;202;4135363;2673000;NA;NA;5328,39;0;2,16;1,39;NA
GEORGIA;MIDDLE EAST;69700;3997000;11,6;77;21,7;10700;11,8;12370000000;6638125;3151218;1363;2;57,35;3094,82;1,66;0,79;0,0196
GERMANY;EUROPE;357022;80159662;8,6;81,1;22,3;50800;4,98;5,365E+11;103090116;72202773;3359;1,38;224,52;6692,89;1,29;0,9;0,0094
GHANA;AFRICA;238533;29340248;29,6;68,2;10,9;4700;11,9;9363000000;38571189;10959964;947;0,4;123;319,12;1,31;0,37;0,004
GIBRALTAR;EUROPE;6,5;29581;13,8;80;NA;61700;1;230800000;3551;27823;NA;NA;4550,92;7802,31;0,12;0,94;NA
GREECE;EUROPE;131957;10607051;7,8;81,1;24,9;27800;17,3;56890000000;12070571;7783381;2548;2,28;80,38;5363,41;1,14;0,73;0,0193
GREENLAND;NORTH AMERICA;2166086;57616;14,1;73,4;NA;41800;9,1;468000000;66009;40084;NA;NA;0,03;8122,74;1,15;0,7;NA
GRENADA;CENTRAL AMERICA;344;113094;14,6;75,2;21,3;15100;24;185100000;115008;66281;NA;NA;328,76;1636,69;1,02;0,59;NA
GUAM;AUSTRALIA & OCEANIA;544;168485;18,9;77;NA;35600;4,5;1601000000;181;135073;NA;NA;309,72;9502,33;0;0,8;NA
GUATEMALA;CENTRAL AMERICA;108889;17153288;23,3;72,4;21,2;8200;2,3;10100000000;20026347;10777827;800;0,4;157,53;588,81;1,17;0,63;0,0073
GUERNSEY;EUROPE;78;67052;9,8;82,8;NA;52500;1,2;NA;71249;5505;NA;NA;859,64;NA;1,06;0,08;NA
GUINEA;AFRICA;245857;12527440;36,1;63,2;7,7;2200;2,7;556100000;12283911;2133974;1086;2;50,95;44,39;0,98;0,17;0,0044
GUINEA-BISSAU;AFRICA;36125;1927104;36,9;62,8;9,5;1900;NA;36270000;1555961;72047;NA;1,4;53,35;18,82;0,81;0,04;NA
GUYANA;SOUTH AMERICA;214969;750204;15,5;69,5;20,2;8100;11,1;790100000;617998;276498;NA;1,7;3,49;1053,18;0,82;0,37;NA
HAITI;CENTRAL AMERICA;27750;11067777;21,7;65,3;22,7;1800;40,6;406200000;6287411;3503006;NA;NA;398,84;36,7;0,57;0,32;NA
HONDURAS;CENTRAL AMERICA;112090;9235340;18,5;74,6;21,4;5600;5,6;7220000000;6633309;2853505;699;1,6;82,39;781,78;0,72;0,31;0,0062
HONG KONG;EAST ASIA;1108;7249907;8,4;83,2;NA;64500;2,93;41840000000;20868827;6450167;NA;NA;6543,24;5771,11;2,88;0,89;NA
HUNGARY;EUROPE;93028;9771827;8,8;76,7;26,4;29600;3,45;39370000000;10394172;7474413;8049;1,21;105,04;4028,93;1,06;0,76;0,0865
ICELAND;EUROPE;103000;350734;13,3;83,3;21,9;52200;3,62;17680000000;42339;340117;NA;0,3;3,41;50408,57;0,12;0,97;NA
INDIA;SOUTH ASIA;3287263;1326093247;18,2;69,7;3,9;7200;8,5;1,137E+12;1105250941;446759327;68525;2,4;403,4;857,41;0,83;0,34;0,0208
INDONESIA;EAST ASIA;1904569;267026366;15,4;73,7;6,9;12400;5,31;2,134E+11;337766682;104563108;8159;0,7;140,2;799,17;1,26;0,39;0,0043
IRAN;MIDDLE EAST;1648195;84923314;16,3;74,5;25,8;20100;11,8;2,363E+11;119598034;58117322;8484;3,8;51,53;2782,51;1,41;0,68;0,0051
IRAQ;MIDDLE EAST;438317;38872655;25,7;72,6;30,4;16700;16;38460000000;36092758;18364390;2272;3,5;88,69;989,38;0,93;0,47;0,0052
IRELAND;EUROPE;70273;5176569;13;81,2;25,3;73200;4,98;25680000000;5398848;4283516;4301;0,3;73,66;4960,81;1,04;0,83;0,0612
ISLE OF MAN;EUROPE;572;90499;10,8;81,6;NA;84600;1,1;NA;NA;NA;63;NA;158,22;NA;NA;NA;0,1101
ISRAEL;MIDDLE EAST;21937;8675475;17,6;83;26,1;36400;3,81;55000000000;10839024;6873037;1384;5;395,47;6339,71;1,25;0,79;0,0631
ITALY;EUROPE;301340;62402659;8,4;82,5;19,9;38200;9,88;2,935E+11;82955151;46305301;20182;1,22;207,08;4703,33;1,33;0,74;0,067
JAMAICA;CENTRAL AMERICA;10991;2808570;16,1;75,2;24,7;9200;7,72;2847000000;2882469;1548618;NA;1,6;255,53;1013,68;1,03;0,55;NA
JAPAN;EAST ASIA;377915;125507472;7,3;86;4,3;42900;2,36;9,437E+11;175187425;106725643;27311;0,93;332,11;7519,07;1,4;0,85;0,0723
JERSEY;EUROPE;116;101073;12,7;82,2;NA;56600;4;630100000;122668;58;NA;NA;871,32;6234,11;1,21;0;NA
JORDAN;MIDDLE EAST;89342;10820644;23;75,5;35,5;9200;19,1;16820000000;8215735;6985174;509;4,7;121,11;1554,44;0,76;0,65;0,0057
KAZAKHSTAN;CENTRAL ASIA;2724900;19091949;16,4;72;21;26300;4,8;94230000000;26223595;14789448;16614;1,1;7,01;4935,59;1,37;0,77;0,0061
KENYA;AFRICA;580367;53527936;27,2;69;7,1;3500;40;7863000000;54336841;9129243;3819;1,3;92,23;146,9;1,02;0,17;0,0066
KIRIBATI;AUSTRALIA & OCEANIA;811;111796;20,5;67,5;46;2000;30,6;26970000;51401;15946;NA;NA;137,85;241,24;0,46;0,14;NA
KOSOVO;EUROPE;10887;1932774;15,4;72,7;NA;10900;30,5;3957000000;620186;1706150;333;0,8;177,53;2047,32;0,32;0,88;0,0306
KUWAIT;MIDDLE EAST;17818;2993706;18;78,6;37,9;65800;1,1;57780000000;5147990;2904801;NA;5,6;168,02;19300,49;1,72;0,97;NA
KYRGYZSTAN;CENTRAL ASIA;199951;5964897;20,6;71,8;16,6;3700;3,18;10520000000;7940306;2222732;424;1,5;29,83;1763,65;1,33;0,37;0,0021
LAOS;EAST ASIA;236800;7447396;22,4;65,7;5,3;7400;0,7;5471000000;4466375;1845437;NA;0,2;31,45;734,62;0,6;0,25;NA
