"","v1","carat","colour","clarity","certification","price"
"1","1","0.300000011920929","D","VS2","GIA","1302"
"2","2","0.300000011920929","E","VS1","GIA","1510"
"3","3","0.300000011920929","G","VVS1","GIA","1510"
"4","4","0.300000011920929","G","VS1","GIA","1260"
"5","5","0.310000002384186","D","VS1","GIA","1641"
"6","6","0.310000002384186","E","VS1","GIA","1555"
"7","7","0.310000002384186","F","VS1","GIA","1427"
"8","8","0.310000002384186","G","VVS2","GIA","1427"
"9","9","0.310000002384186","H","VS2","GIA","1126"
"10","10","0.310000002384186","I","VS1","GIA","1126"
"11","11","0.319999992847443","F","VS1","GIA","1468"
"12","12","0.319999992847443","G","VS2","GIA","1202"
"13","13","0.330000013113022","E","VS2","GIA","1327"
"14","14","0.330000013113022","I","VS2","GIA","1098"
"15","15","0.340000003576279","E","VS1","GIA","1693"
"16","16","0.340000003576279","F","VS1","GIA","1551"
"17","17","0.340000003576279","G","VS1","GIA","1410"
"18","18","0.340000003576279","G","VS2","GIA","1269"
"19","19","0.340000003576279","H","VS1","GIA","1316"
"20","20","0.340000003576279","H","VS2","GIA","1222"
"21","21","0.349999994039536","E","VS1","GIA","1738"
"22","22","0.349999994039536","F","VS1","GIA","1593"
"23","23","0.349999994039536","G","VS1","GIA","1447"
"24","24","0.349999994039536","H","VS2","GIA","1255"
"25","25","0.360000014305115","F","VS1","GIA","1635"
"26","26","0.360000014305115","H","VVS2","GIA","1485"
"27","27","0.370000004768372","F","VS2","GIA","1420"
"28","28","0.370000004768372","H","VS1","GIA","1420"
"29","29","0.400000005960464","F","VS1","GIA","1911"
"30","30","0.400000005960464","H","VS1","GIA","1525"
"31","31","0.409999996423721","F","VS1","GIA","1956"
"32","32","0.430000007152557","H","VVS2","GIA","1747"
"33","33","0.449999988079071","I","VS1","GIA","1572"
"34","34","0.46000000834465","E","VVS2","GIA","2942"
"35","35","0.479999989271164","G","VVS2","GIA","2532"
"36","36","0.5","E","VS1","GIA","3501"
"37","37","0.5","E","VS1","GIA","3501"
"38","38","0.5","F","VVS2","GIA","3501"
"39","39","0.5","F","VS1","GIA","3293"
"40","40","0.5","G","VS1","GIA","3016"
"41","41","0.509999990463257","F","VVS2","GIA","3567"
"42","42","0.509999990463257","G","VS1","GIA","3205"
"43","43","0.519999980926514","D","VS2","GIA","3490"
"44","44","0.519999980926514","E","VS1","GIA","3635"
"45","45","0.519999980926514","F","VVS2","GIA","3635"
"46","46","0.519999980926514","F","VS1","GIA","3418"
"47","47","0.529999971389771","D","VS1","GIA","3921"
"48","48","0.529999971389771","F","VVS2","GIA","3701"
"49","49","0.529999971389771","F","VS1","GIA","3480"
"50","50","0.529999971389771","G","VVS2","GIA","3407"
"51","51","0.540000021457672","E","VS1","GIA","3767"
"52","52","0.540000021457672","F","VVS1","GIA","4066"
"53","53","0.550000011920929","E","VVS2","GIA","4138"
"54","54","0.550000011920929","F","VS1","GIA","3605"
"55","55","0.550000011920929","G","VVS2","GIA","3529"
"56","56","0.560000002384186","F","VS1","GIA","3667"
"57","57","0.560000002384186","I","VVS2","GIA","2892"
"58","58","0.569999992847443","G","VVS2","GIA","3651"
"59","59","0.589999973773956","G","VVS2","GIA","3773"
"60","60","0.600000023841858","F","VS1","GIA","4291"
"61","61","0.620000004768372","E","VVS1","GIA","5845"
"62","62","0.629999995231628","G","VVS2","GIA","4401"
"63","63","0.639999985694885","G","VVS1","GIA","4759"
"64","64","0.660000026226044","H","VVS1","GIA","4300"
"65","65","0.699999988079071","F","VS1","GIA","5510"
"66","66","0.699999988079071","G","VS1","GIA","5122"
"67","67","0.699999988079071","H","VVS2","GIA","5122"
"68","68","0.699999988079071","I","VS2","GIA","3861"
"69","69","0.709999978542328","F","VVS2","GIA","5881"
"70","70","0.709999978542328","F","VS1","GIA","5586"
"71","71","0.709999978542328","F","VS2","GIA","5193"
"72","72","0.709999978542328","H","VVS2","GIA","5193"
"73","73","0.720000028610229","F","VS2","GIA","5263"
"74","74","0.800000011920929","I","VVS2","GIA","5441"
"75","75","0.819999992847443","I","VS2","GIA","4948"
"76","76","0.839999973773956","H","VS2","GIA","5705"
"77","77","0.850000023841858","F","VS2","GIA","6805"
"78","78","0.860000014305115","H","VVS2","GIA","6882"
"79","79","0.889999985694885","H","VS1","GIA","6709"
"80","80","0.899999976158142","I","VVS2","GIA","6682"
"81","81","0.5","E","VS1","GIA","3501"
"82","82","0.5","G","VVS1","GIA","3432"
"83","83","0.509999990463257","F","VVS1","GIA","3851"
"84","84","0.550000011920929","H","IF","GIA","3605"
"85","85","0.560000002384186","E","VS1","GIA","3900"
"86","86","0.569999992847443","H","VVS1","GIA","3415"
"87","87","0.600000023841858","H","IF","GIA","4291"
"88","88","0.629999995231628","E","IF","GIA","6512"
"89","89","0.699999988079071","E","VS1","GIA","5800"
"90","90","0.699999988079071","F","VVS1","GIA","6285"
"91","91","0.699999988079071","F","VS2","GIA","5122"
"92","92","0.699999988079071","F","VS2","GIA","5122"
"93","93","0.699999988079071","G","VS1","GIA","5122"
"94","94","0.699999988079071","H","VVS2","GIA","5122"
"95","95","0.709999978542328","D","VS1","GIA","6372"
"96","96","0.709999978542328","E","VS1","GIA","5881"
"97","97","0.709999978542328","H","VVS2","GIA","5193"
"98","98","0.720000028610229","E","VS1","GIA","5961"
"99","99","0.720000028610229","H","VVS1","GIA","5662"
"100","100","0.730000019073486","E","VS2","GIA","5738"
"101","101","0.730000019073486","H","VS1","GIA","5030"
"102","102","0.730000019073486","H","VS1","GIA","5030"
"103","103","0.730000019073486","I","VVS1","GIA","4727"
"104","104","0.730000019073486","I","VS1","GIA","4221"
"105","105","0.740000009536743","G","VVS2","GIA","5815"
"106","106","0.740000009536743","H","VS2","GIA","4585"
"107","107","0.75","D","VVS2","GIA","7368"
"108","108","0.75","I","VVS2","GIA","4667"
"109","109","0.75","I","VS1","GIA","4355"
"110","110","0.759999990463257","D","IF","GIA","9885"
"111","111","0.769999980926514","F","VVS1","GIA","6919"
"112","112","0.779999971389771","H","VS1","GIA","5386"
"113","113","0.800000011920929","I","VS2","GIA","4832"
"114","114","0.829999983310699","E","VS2","GIA","7156"
"115","115","0.899999976158142","F","VS1","GIA","7680"
"116","116","1","D","VVS1","GIA","15582"
"117","117","1","D","VS1","GIA","11419"
"118","118","1","E","VS1","GIA","10588"
"119","119","1","E","VS2","GIA","9757"
"120","120","1","F","IF","GIA","13913"
"121","121","1","F","VVS2","GIA","10588"
"122","122","1","F","VS1","GIA","10713"
"123","123","1","F","VS2","GIA","9480"
"124","124","1","G","VVS2","GIA","9896"
"125","125","1","G","VS1","GIA","9619"
"126","126","1","G","VS2","GIA","9169"
"127","127","1","G","VS2","GIA","9203"
"128","128","1","H","VS2","GIA","8788"
"129","129","1","I","VS1","GIA","8095"
"130","130","1","I","VS2","GIA","7818"
"131","131","1.00999999046326","D","VVS1","GIA","16008"
"132","132","1.00999999046326","E","VS1","GIA","10692"
"133","133","1.00999999046326","E","VS2","GIA","9853"
"134","134","1.00999999046326","F","VS1","GIA","10272"
"135","135","1.00999999046326","F","VS2","GIA","9573"
"136","136","1.00999999046326","H","VS1","GIA","9153"
"137","137","1.00999999046326","H","VS2","GIA","8873"
"138","138","1.00999999046326","I","VVS1","GIA","8873"
"139","139","1.00999999046326","I","VVS2","GIA","8455"
"140","140","1.00999999046326","I","VS2","GIA","7895"
"141","141","1.01999998092651","F","VS1","GIA","10372"
"142","142","1.01999998092651","F","VS2","GIA","9666"
"143","143","1.01999998092651","G","VVS2","GIA","10090"
"144","144","1.02999997138977","E","VS1","GIA","10900"
"145","145","1.03999996185303","F","VS1","GIA","10571"
"146","146","1.03999996185303","I","IF","GIA","9563"
"147","147","1.04999995231628","I","VVS2","GIA","8781"
"148","148","1.05999994277954","G","VS2","GIA","9743"
"149","149","1.05999994277954","H","VS2","GIA","9302"
"150","150","1.07000005245209","I","VVS2","GIA","8945"
"151","151","1.10000002384186","H","VS2","GIA","9646"
"152","152","0.180000007152557","F","VVS1","IGI","823"
"153","153","0.180000007152557","F","VVS2","IGI","765"
"154","154","0.180000007152557","G","IF","IGI","803"
"155","155","0.180000007152557","G","IF","IGI","803"
"156","156","0.180000007152557","G","VVS2","IGI","705"
"157","157","0.180000007152557","H","IF","IGI","725"
"158","158","0.189999997615814","D","VVS2","IGI","967"
"159","159","0.189999997615814","E","IF","IGI","1050"
"160","160","0.189999997615814","F","IF","IGI","967"
"161","161","0.189999997615814","F","VVS1","IGI","863"
"162","162","0.189999997615814","F","VVS2","IGI","800"
"163","163","0.189999997615814","G","IF","IGI","842"
"164","164","0.189999997615814","G","VVS1","IGI","800"
"165","165","0.189999997615814","H","IF","IGI","758"
"166","166","0.200000002980232","D","VS1","IGI","880"
"167","167","0.200000002980232","G","IF","IGI","880"
"168","168","0.200000002980232","G","VS1","IGI","705"
"169","169","0.200000002980232","G","VS2","IGI","638"
"170","170","0.209999993443489","D","VS1","IGI","919"
"171","171","0.209999993443489","E","IF","IGI","1149"
"172","172","0.209999993443489","F","IF","IGI","1057"
"173","173","0.209999993443489","G","IF","IGI","919"
"174","174","0.219999998807907","E","IF","IGI","1198"
"175","175","0.230000004172325","E","IF","IGI","1248"
"176","176","0.230000004172325","F","IF","IGI","1147"
"177","177","0.230000004172325","G","IF","IGI","995"
"178","178","0.239999994635582","H","IF","IGI","1108"
"179","179","0.25","F","IF","IGI","1485"
"180","180","0.25","G","IF","IGI","1283"
"181","181","0.25","H","IF","IGI","1149"
"182","182","0.25","I","IF","IGI","1082"
"183","183","0.259999990463257","F","IF","IGI","1539"
"184","184","0.259999990463257","F","VVS1","IGI","1365"
"185","185","0.259999990463257","F","VVS2","IGI","1260"
"186","186","0.259999990463257","I","IF","IGI","1121"
"187","187","0.270000010728836","F","IF","IGI","1595"
"188","188","0.270000010728836","H","IF","IGI","1233"
"189","189","0.280000001192093","I","IF","IGI","1199"
"190","190","0.28999999165535","G","IF","IGI","1471"
"191","191","0.28999999165535","I","IF","IGI","1238"
"192","192","0.300000011920929","E","VVS2","IGI","1580"
"193","193","0.300000011920929","F","VVS2","IGI","1459"
"194","194","0.300000011920929","G","VVS1","IGI","1459"
"195","195","0.300000011920929","H","VVS2","IGI","1218"
"196","196","0.300000011920929","I","IF","IGI","1299"
"197","197","0.310000002384186","E","VVS2","IGI","1628"
"198","198","0.310000002384186","F","VVS1","IGI","1628"
"199","199","0.310000002384186","I","IF","IGI","1337"
"200","200","0.319999992847443","H","IF","IGI","1462"
"201","201","0.330000013113022","H","IF","IGI","1503"
"202","202","0.340000003576279","F","VVS1","IGI","1773"
"203","203","0.340000003576279","F","VVS2","IGI","1636"
"204","204","0.349999994039536","F","VVS1","IGI","1821"
"205","205","0.349999994039536","G","VVS2","IGI","1540"
"206","206","0.400000005960464","G","IF","IGI","2276"
"207","207","0.409999996423721","I","VVS1","IGI","1616"
"208","208","0.409999996423721","I","VVS2","IGI","1506"
"209","209","0.469999998807907","F","VVS2","IGI","2651"
"210","210","0.479999989271164","F","VS1","IGI","2383"
"211","211","0.5","G","IF","IGI","3652"
"212","212","0.509999990463257","E","VVS2","IGI","3722"
"213","213","0.509999990463257","F","VVS1","IGI","3722"
"214","214","0.519999980926514","I","IF","IGI","3095"
"215","215","0.550000011920929","F","VVS2","IGI","3706"
"216","216","0.560000002384186","E","VVS2","IGI","4070"
"217","217","0.560000002384186","G","VVS2","IGI","3470"
"218","218","0.579999983310699","E","VVS1","IGI","4831"
"219","219","0.579999983310699","F","VVS1","IGI","4209"
"220","220","0.579999983310699","G","VVS1","IGI","3821"
"221","221","0.699999988079071","G","VVS1","IGI","5607"
"222","222","0.699999988079071","G","VVS2","IGI","5326"
"223","223","0.709999978542328","D","VS1","IGI","6160"
"224","224","0.759999990463257","F","VVS2","IGI","6095"
"225","225","0.779999971389771","G","VVS2","IGI","5937"
"226","226","1","H","VVS2","IGI","9342"
"227","227","1.00999999046326","G","VS1","IGI","9713"
"228","228","1.00999999046326","H","VS2","IGI","8873"
"229","229","1.00999999046326","I","VS1","IGI","8175"
"230","230","0.5","F","VVS1","HRD","3778"
"231","231","0.5","G","VVS1","HRD","3432"
"232","232","0.509999990463257","F","VVS1","HRD","3851"
"233","233","0.519999980926514","E","VS2","HRD","3346"
"234","234","0.519999980926514","H","VVS1","HRD","3130"
"235","235","0.529999971389771","F","VVS1","HRD","3995"
"236","236","0.529999971389771","F","VVS2","HRD","3701"
"237","237","0.550000011920929","G","VVS2","HRD","3529"
"238","238","0.560000002384186","F","VS1","HRD","3667"
"239","239","0.560000002384186","F","VS2","HRD","3202"
"240","240","0.569999992847443","F","VS2","HRD","3256"
"241","241","0.569999992847443","H","VVS1","HRD","3415"
"242","242","0.579999983310699","H","IF","HRD","3792"
"243","243","0.600000023841858","G","VS1","HRD","3925"
"244","244","0.600000023841858","G","VS2","HRD","3421"
"245","245","0.600000023841858","H","VVS1","HRD","3925"
"246","246","0.610000014305115","H","VVS2","HRD","3616"
"247","247","0.620000004768372","I","VVS2","HRD","3615"
"248","248","0.639999985694885","H","VVS2","HRD","3785"
"249","249","0.649999976158142","I","VVS2","HRD","3643"
"250","250","0.660000026226044","H","VVS1","HRD","4300"
"251","251","0.699999988079071","E","VVS1","HRD","6867"
"252","252","0.699999988079071","E","VVS2","HRD","6285"
"253","253","0.699999988079071","G","VVS1","HRD","5800"
"254","254","0.699999988079071","G","VVS2","HRD","5510"
"255","255","0.699999988079071","H","VS2","HRD","4346"
"256","256","0.709999978542328","G","IF","HRD","6372"
"257","257","0.709999978542328","H","VVS2","HRD","5193"
"258","258","0.720000028610229","H","VVS1","HRD","5662"
"259","259","0.730000019073486","F","VS2","HRD","5333"
"260","260","0.730000019073486","G","VVS1","HRD","6041"
"261","261","0.740000009536743","H","VVS1","HRD","5815"
"262","262","0.800000011920929","F","IF","HRD","8611"
"263","263","0.800000011920929","F","VS1","HRD","6905"
"264","264","0.800000011920929","G","VVS2","HRD","6905"
"265","265","0.800000011920929","H","VVS2","HRD","6416"
"266","266","0.800000011920929","H","VS1","HRD","6051"
"267","267","0.810000002384186","E","VVS1","HRD","8715"
"268","268","0.810000002384186","E","VS2","HRD","6988"
"269","269","0.810000002384186","F","VS1","HRD","6988"
"270","270","0.810000002384186","G","VS1","HRD","6495"
"271","271","0.810000002384186","H","IF","HRD","7358"
"272","272","0.819999992847443","F","VS2","HRD","6572"
"273","273","0.819999992847443","G","VVS2","HRD","7072"
"274","274","0.850000023841858","F","VVS1","HRD","8359"
"275","275","0.850000023841858","F","VS2","HRD","6805"
"276","276","0.850000023841858","G","VVS1","HRD","7711"
"277","277","0.860000014305115","H","VS2","HRD","5835"
"278","278","1","D","VVS2","HRD","13775"
"279","279","1","E","VVS1","HRD","14051"
"280","280","1","E","VVS2","HRD","11419"
"281","281","1","E","VS1","HRD","10588"
"282","282","1","F","VVS1","HRD","11696"
"283","283","1","F","VVS2","HRD","10588"
"284","284","1","G","VVS1","HRD","10450"
"285","285","1","G","VVS2","HRD","9896"
"286","286","1","G","VS2","HRD","9203"
"287","287","1","H","VVS1","HRD","9480"
"288","288","1","H","VS1","HRD","9065"
"289","289","1","H","VS2","HRD","8788"
"290","290","1","I","VVS1","HRD","8788"
"291","291","1","I","VVS2","HRD","8372"
"292","292","1","I","VS1","HRD","8095"
"293","293","1","I","VS2","HRD","7818"
"294","294","1.00999999046326","D","VVS2","HRD","13909"
"295","295","1.00999999046326","E","VVS2","HRD","11531"
"296","296","1.00999999046326","E","VS1","HRD","10692"
"297","297","1.00999999046326","F","VVS1","HRD","11811"
"298","298","1.00999999046326","F","VS1","HRD","10272"
"299","299","1.00999999046326","G","VVS2","HRD","9993"
"300","300","1.00999999046326","G","VS2","HRD","9293"
"301","301","1.00999999046326","H","VVS2","HRD","9433"
"302","302","1.00999999046326","H","VS1","HRD","9153"
"303","303","1.00999999046326","I","VVS1","HRD","8873"
"304","304","1.00999999046326","I","VS1","HRD","8175"
"305","305","1.01999998092651","F","VVS2","HRD","10796"
"306","306","1.05999994277954","H","VVS2","HRD","9890"
"307","307","1.01999998092651","H","VS2","HRD","8959"
"308","308","1.0900000333786","I","VVS2","HRD","9107"
"309","309","18.96","H","VS1","HRD","50000000"
